path,text,carrier,exaggeration,cfg_weight
A_current_e40_c50.wav,These are BPS and Reiz. They guide the child through every activity in the app — and they'll walk you through this presentation too.,no,0.4,0.5
B_e60_c40.wav,These are BPS and Reiz. They guide the child through every activity in the app — and they'll walk you through this presentation too.,no,0.6,0.4
C_e75_c30.wav,These are BPS and Reiz. They guide the child through every activity in the app — and they'll walk you through this presentation too.,no,0.75,0.3
D_e90_c30.wav,These are BPS and Reiz. They guide the child through every activity in the app — and they'll walk you through this presentation too.,no,0.9,0.3
